,County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,FMNP,Operating Months,Latitude,Longitude,SNAP,Location Points
0,Albany,Altamont Farm Stand,Altamont Free Library 181 Main St.,181 Main Street,Altamont,NY,12009,Jim Abbruzzese,5188616515.0,,"Friday  11am-6pm, Saturday  10am-2pm",July 13-August 31,Y,M,42.70149,-74.03254,N,"(42.70149, -74.03254)"
1,Albany,Altamont Orchards Farm Stand,6654 Dunnsville Road Altamont,6654 Dunnsville Road,Altamont,NY,12009,Jim Abbruzzese,5188616515.0,http://www.altamontorchards.com,Daily  9:30am-5pm,Sept 1-Dec 23,Y,M/X,42.7212,-74.01691,N,"(42.7212, -74.01691)"
2,Albany,Barber Family Farm Stand-Guilderland,"Passono Paint Parking Lot, 1438 Western Ave. Albany",1438 Western Ave.,Albany,ny,12203,Cindy Barber,5188275454.0,http://www.barberfarm.com,Mon-Fri  11am-5pm,June-October,Y,M,42.68005,-73.83448,N,"(42.68005, -73.83448)"
3,Albany,Barber's Ruckytucks PYO Farm Stand II,22 Remsen Street   Cohoes,22 Remsen Street,Cohoes,NY,12047,Linda Barber,5186497395.0,https://www.facebook.com/Barbers-Ruckytucks-rd-PYO-farm-156886454463995/,Friday  2pm-5pm,June-October,Y,M,42.77626,-73.70168000000001,N,"(42.77626, -73.70168)"
4,Albany,CDPHP Farmers' Market,"CDPHP prkg lot off Washington Ave., 500 Patroon Creek Blvd. Albany",500 Patroon Creek Bvld.,Albany,NY,12206,Randy Tryon,5186415611.0,http://www.cdphp.com,Thursday  11am-1:30pm,June 7-October 4,Y,P/M,42.68418,-73.80587,N,"(42.68418, -73.80587)"
5,Albany,Colonie Farmers' Market at the Crossings,580 Albany Shaker Rd. Loudonville,580 Albany Shaker Rd,Colonie,NY,12211,Laura Archambault,5183301380.0,http://www.colonie.org,Saturday  9am-1pm,May 19-September 29,Y,P/M,42.710159999999995,-73.78029000000001,N,"(42.71016, -73.78029)"
6,Albany,Constantine Farm Stand,566 Albany Shaker Rd.  Loudonville,566 Albany Shaker Road,Loudonville,NY,12211,Emily Wrieden,5184588294.0,http://www.constantinefarms.com,"Mon-Sat  8am-5pm, Sunday  9am-5pm",May 1-December 24,Y,P/M/X,42.717220000000005,-73.78613,N,"(42.71722, -73.78613)"
7,Albany,Cook Park Farmers' Market,Sharon Drive Pavilion Cook Park Colonie,3 Sharon drive,Colonie,NY,12205,Krysta Dennis,5186692636.0,http://www.cookparkfarmersmarket.com,Thursday  4pm-7pm,May 16-October 3,Y,P/M,42.70742,-73.83453,N,"(42.70742, -73.83453)"
8,Albany,Delaware Community Farmers' Market,"Delaware Branch Library, 331 Delaware Ave. Albany",331 Delaware Ave,Albany,NY,12209,Louise McNeilly,5184341730.0,http://www.delawareneighborhood.org,Tuesday  4pm-7pm,June 26-November 20,Y,M,42.64305,-73.77824,Y,"(42.64305, -73.77824)"
9,Albany,Delmar Saturday Farmers' Market,"Bethlehem Central Middle School, 332 Kenwood Avenue",332 Kenwood Avenue,Delmar,NY,12054,Ken Myer,5184871991.0,http://www.delmarmarket.org,Saturday  9am-1pm,May 5-November 24,Y,P/M,42.6212,-73.82576999999999,Y,"(42.6212, -73.82577)"
10,Albany,Delmar Tuesday Farmers' Market,"First United Methodist Church Lot, 428 Kenwood Ave.",428 Kenwood Ave,Delmar,NY,12054,Richard Rugen,5188634711.0,https://www.facebook.com/TuesdayDelmarFarmersMarket/,Tuesday  2:30pm-6pm,May 1-November 20,Y,P/M,42.62298,-73.83623,N,"(42.62298, -73.83623)"
11,Albany,Downtown Albany Farmers' Market,SUNY Plaza 353 Broadway & State St (Winter Market-Inside SUNY Bldg),353 Broadway,Albany,NY,12207,Frank Stanton,5187568228.0,http://www.downtownalbany.org/visit/downtown-albany-farmers-market,Thursday  11am-2pm,Year-round,Y,YR,42.64847,-73.75012,N,"(42.64847, -73.75012)"
12,Albany,Empire State Plaza Friday Farmers' Market,Empire State Plaza,170 State St,Albany,NY,12210,Jason Rumpf,5184732982.0,http://www.ogs.ny.gov,Friday  10am-2pm,March 23-October 12,Y,P/M,42.65162,-73.75692,Y,"(42.65162, -73.75692)"
13,Albany,Empire State Plaza Wed Farmers' Market,"Empire State Plaza, In Front of Capitol, (Winter inside South Concourse)",170 State St,Albany,NY,12210,Jason Rumpf,5184732982.0,http://www.ogs.ny.gov,Wednesday  10am-2pm,Year-round,Y,YR,42.65068,-73.758,Y,"(42.65068, -73.758)"
14,Albany,Guilderland Farmers' Market,2050 Western Ave.,2050 Central Ave.,Sunday,NY,12084,Scott Abraham,9499738785.0,http://www.guilderlandmarket.com,Sunday  9am-3pm,August 5-October 26,Y,M,42.74968,-73.86950999999999,N,"(42.74968, -73.86951)"
15,Albany,Lansing Farm Market,"204 Lisha Kill Rd, Hamlet of Lisha Kill",204 Lisha Kill,Niskayuna,NY,12309,Al Lansing,5184640889.0,http://www.lansingfarmmarket.com,"Mon/Wed/Fri  9am-7pm, Tue/Thu  9am-6pm, Sunday  9am-5pm",May 1-November 22,Y,P/M,42.7629,-73.85446999999999,N,"(42.7629, -73.85447)"
16,Albany,New Covenant Farmers' Market,"New Covenant Presbyterian Church, 916 Western Ave. Albany",916 Western Ave,Albany,NY,12203,Katy Stenta,5184828063.0,https://www.facebook.com/NewCovenantFarmersMarket/,Tuesday  3pm-6pm,May 22-October 2,Y,P/M,42.67228,-73.81026,N,"(42.67228, -73.81026)"
17,Albany,South End Healthy Farmers' Market,20 Warren St.  Albany,20 Warren Street,Albany,NY,12202,Tom McPheeters,5184519849.0,http://www.avillageworks.org/south-end-healthy-market.html,Saturday  10am-3pm,June 30-October 13,Y,M,42.64326,-73.7599,Y,"(42.64326, -73.7599)"
18,Albany,The Gade Farm Farm Stand,2479 Western Avenue Altamont,2479 Western Avenue,Altamont,NY,12009,Amy Castillo,5188698019.0,http://www.gadefarm.com,"Saturday  9am-6pm, Sunday  9am-5pm, Mon-Fri  9am-6:30pm",March 23-December 24,Y,P/M/X,42.71055,-73.92593000000001,N,"(42.71055, -73.92593)"
19,Albany,Veggie Mobile Sprout-Robert Whalen,305 Colonie Street Albany,305 Colonie Street,Albany,NY,12210,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Wed 11:15am-12pm,Year-round,Y,YR,42.66338,-73.75595,Y,"(42.66338, -73.75595)"
20,Albany,Veggie Mobile Sprout-St. Sophia Church,440 Whitehall Rd. Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Wed 12:40pm-1pm,Year-round,Y,YR,42.65197,-73.81477,Y,"(42.65197, -73.81477)"
21,Albany,Veggie Mobile Sprout-St. Sophia/Holy Wisdom,426 Whitehall Road Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Wed 12:15pm-1pm,Year-round,Y,YR,42.652440000000006,-73.81416,Y,"(42.65244, -73.81416)"
22,Albany,Veggie Mobile-Arbor Hill/Oak Street Park,Oak Street & Second Street Albany,Second Street & Oak Street,Albany,NY,12210,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Thu 12:15pm-1pm,Year-round,Y,YR,42.6629,-73.76094,Y,"(42.6629, -73.76094)"
23,Albany,Veggie Mobile-Center for Disability,700 South Pearl Street Albany,700 South Pearl Street,Albany,NY,12202,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Tue 12:15pm-1pm,Year-round,Y,YR,42.63003,-73.76585,Y,"(42.63003, -73.76585)"
24,Albany,Veggie Mobile-Cohoes Senior Ctr,100 Cayuga Plaza Cohoes,100 Cayuga Plaza,Cohoes,NY,12047,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Wednesday 3pm-4pm,Year-round,Y,YR,42.777120000000004,-73.70101,Y,"(42.77712, -73.70101)"
25,Albany,Veggie Mobile-Creighton Storey Homes,158 3rd Street Albany,158 3rd Street,Albany,NY,12202,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Thu 5pm-5:45pm,Year-round,Y,YR,42.66205,-73.7578,Y,"(42.66205, -73.7578)"
26,Albany,Veggie Mobile-Howe Library,Schuyler & Broad St. Albany,Schuyler St and Broad Street,Albany,NY,12202,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Tue 3pm-3:45pm,Year-round,Y,YR,42.64112,-73.75802,Y,"(42.64112, -73.75802)"
27,Albany,Veggie Mobile-Koinonia Primary Care,533 Clinton Ave. & N. Lake Ave. Albany,533 Clinton Avenue,Albany,NY,12206,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Tue 2pm-2:45pm,Year-round,Y,YR,42.665079999999996,-73.76804,Y,"(42.66508, -73.76804)"
28,Albany,Veggie Mobile-Lincoln Square,3 Lincoln Square Albany,3 Lincoln Square,Albany,NY,12202,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Mon 5pm-5:45pm,Year-round,Y,YR,42.6428,-73.76118000000001,Y,"(42.6428, -73.76118)"
29,Albany,Veggie Mobile-North Albany YMCA,616 N. Pearl St. Albany,616 North Pearl Street,Albany,NY,12204,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Wed 4:45pm-5:45pm,Year-round,Y,YR,42.67368,-73.73953,Y,"(42.67368, -73.73953)"
30,Albany,Veggie Mobile-South Mall Towers,101 S. Pearl St. Albany,101 South Pearl Street,Albany,NY,12207,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Fri  11am-12:15pm,Year-round,Y,YR,42.6465,-73.75482,Y,"(42.6465, -73.75482)"
31,Albany,Veggie Mobile-Steamboat Square Apts,20 Rensselaer St. Albany,20 Rensselaer Street,Albany,NY,12202,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Wed 11am-11:45am,Year-round,Y,YR,42.64093,-73.75363,Y,"(42.64093, -73.75363)"
32,Albany,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace Albany,2 Thurlow Terrace,Albany,NY,12203,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Wed 12pm-1pm,Year-round,Y,YR,42.65998,-73.77275999999999,Y,"(42.65998, -73.77276)"
33,Albany,Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive Albany,920 Lark Drive,Albany,NY,12207,Audrey Bridge,5182748685.0,http://www.capitalroots.org,Tue 11am-12pm,Year-round,Y,YR,42.66215,-73.74859000000001,Y,"(42.66215, -73.74859)"
34,Albany,Voorheesville Farmers' Market,"First United Methodist Church lot, 68 Maple Ave.",68 Maple Ave,Voorheesville,NY,12186,Dianne Luci,5187654536.0,https://www.facebook.com/VoorheesvilleFarmersMarket,Wed  3:30pm-6:30pm,June 20-October 10,Y,M,42.648920000000004,-73.92990999999999,N,"(42.64892, -73.92991)"
35,Allegany,Alfred Farmers' Market,3 South Main St.,3 South Main Street,Alfred,NY,14802,Cassandra Bull,5189373234.0,http://www.alfredfarmersmarket.com,Sunday  11am-3pm,July 8-October 28,Y,M,42.25359,-77.79035999999999,Y,"(42.25359, -77.79036)"
36,Allegany,Angelica Farmers' Market,Park Circle,28 Park Circle,Angelica,NY,14709,Danelle Mascho,5856106924.0,https://www.facebook.com/AngelicaFarmersMarket/,Saturday  9am-1pm,June 9-September 29,Y,M,42.3066,-78.01619000000001,N,"(42.3066, -78.01619)"
37,Allegany,Angelica WINTER Farmers' Market,Grange Hall of Angelica,55 Park Circle,Angelica,NY,14709,Danelle Mascho,5856106924.0,http://www.facebook.com/AngelicaFarmersMarket/,Saturday  10am-2pm,Nov 10 & Dec 8,N,M/X,42.30578,-78.0154,N,"(42.30578, -78.0154)"
38,Allegany,Belmont Farmers' Market,5429 NYS Route 19 N,5429 NYS Route 19 N,Belmont,NY,14813,Phyllis Couture,7169423710.0,,Thursday  11am-5pm,May 24-October 25,Y,P/M,42.2356,-78.05212,Y,"(42.2356, -78.05212)"
39,Allegany,Cuba Farmers and Artisans Market,28 Genesee St.  Cuba,28 Genesee St.,Cuba,NY,14727,David Gaeta,5852090052.0,,Friday  2pm-6pm,July 6-September 28,Y,M,42.21991,-78.2771,N,"(42.21991, -78.2771)"
40,Allegany,On the River Farm Stand,7579 Route 19 Belfast,7579 Route 19,Belfast,NY,14711,Stephen Demarte,7165605594.0,,Daily  8am-6pm,June 1-November 1,Y,M,42.34485,-78.11563000000001,Y,"(42.34485, -78.11563)"
41,Allegany,Riverside Farms Farm Market,3314 Riverside Drive  Scio,3314 Riverside Drive,Scio,NY,14895,Jan Ruprecht,5858086405.0,,"Mon-Thu  11am-6pm, Fri/Sat  10am-7pm, Sunday  12pm-6pm",April 14-December 30,Y,P/M/X,42.14093,-77.97553,N,"(42.14093, -77.97553)"
42,Allegany,Wagoner Bees & Produce Farm Stand,11137 Wayne Rd.  Fillmore,11137 Wayne Rd.,Fillmore,ny,14735,Terry Wagoner,5856108836.0,http://facebook.com/wagonerbees,"Sun/Tue  12pm-5pm, Mon/Fri  1pm-5pm, Wed  10am-5pm, Sat  12pm-6pm",May 11-November 30,Y,P/M,42.48057,-78.09042,Y,"(42.48057, -78.09042)"
43,Bronx,New York Botanical Garden Farmers' Market,2950 Southern Boulevard Mosholu Gate,2950 Southern Boulevard,Bronx,NY,10458-5126,Pascale Le Draoulec,9144788068.0,,Wed  9am-3pm,June 13-October 31,Y,M,40.866890000000005,-73.88061,Y,"(40.86689, -73.88061)"
44,Allegany,White Valley Farm Stand,381 Heselton Rd. Whitesville,381 Heselton Road,Whitesville,NY,14897,Justin Ellison,5858086061.0,,"Mon-Fri  12pm-5pm, Saturday  10am-5pm, Sunday  12pm-5pm",Year-round,Y,YR,42.01631,-77.84727,N,"(42.01631, -77.84727)"
45,Bronx,170 Farm Stand,1406 Townsend Ave. and 170th St.,1406 Townsend Ave. and 170th Street,Bronx,NY,10452,Taisy Conk,7187168000.0,,Wednesday  2:30-6:30pm,July 11-November 21,Y,M,40.840090000000004,-73.9166,Y,"(40.84009, -73.9166)"
46,Bronx,Bissel Gardens Sat Farmers' Market,Baychester Ave. & E 241 St.,Baychester Ave and East 241st St,Bronx,NY,10470,Heather Dombrowa,3474272547.0,http://www.bisselgardens.org,Sat  9am-5pm,July 11-November 21,Y,M,40.901509999999995,-73.84702,Y,"(40.90151, -73.84702)"
47,Bronx,Bissel Gardens Wed Farmers' Market-Wed,Baychester Ave. & E 241 St.,Baychester Avenue and East 241 Street,Bronx,NY,10470,Heather Dombrowa,3474272547.0,http://www.bisselgardens.org,Wed  9am-5pm,July 11-November 21,Y,M,40.90152,-73.84692,Y,"(40.90152, -73.84692)"
48,Bronx,Bronx Borough Hall Greenmarket,Grand Concourse btwn 161st & 163rd Sts.,901 Grand Concourse,Bronx,NY,10451,Pam Knepper,2127887900.0,http://www.grownyc.org/greenmarket,Tuesday  8am-4pm,June 5-November 27,Y,M,40.82715,-73.92276,Y,"(40.82715, -73.92276)"
49,Bronx,BronxWorks Farm Stand,1130 Grand Concourse,1130 Grand Concourse,Bronx,NY,10456,Carolina Espinosa,7185083098.0,,Thursday  2pm-6pm,April 4-November 15,Y,P/M,40.83256,-73.9192,N,"(40.83256, -73.9192)"
50,Bronx,Fordham Plaza Greenmarket,"Fordham Plaza , Park Ave btwn 189th St. & Fordham Rd.",1 Fordham Plaza,Bronx,NY,10458,Pam Knepper,2127887900.0,http://www.grownyc.org/greenmarket,Friday  8am-4pm,June 15-November 30,Y,M,40.86002,-73.89106,Y,"(40.86002, -73.89106)"
